study_id,duration_category,frequency_reported
https://doi.org/10.1016/j.jhydrol.2012.10.043,long,0
https://doi.org/10.1016/j.evalprogplan.2019.101741,short,1
https://doi.org/10.1016/S0169-2046(03)00158-0,single,0
https://doi.org/10.1016/j.landurbplan.2013.04.003,NR,0
https://doi.org/10.1016/j.landurbplan.2018.08.005,ongoing,1
https://doi.org/10.1016/j.landurbplan.2019.02.017,ongoing,0
https://doi.org/10.1016/j.landurbplan.2020.103743,intermediate,0
https://doi.org/10.1016/j.landurbplan.2025.105533,ongoing,0
https://doi.org/10.1016/j.cities.2024.105267,short,0
https://doi.org/10.1016/j.cities.2025.106239,NR,0
https://doi.org/10.1016/j.cities.2025.106303,ongoing,0
https://doi.org/10.1016/j.landusepol.2022.105987,long,0
https://doi.org/10.1016/j.landusepol.2025.107535,single,0
https://doi.org/10.1016/j.landusepol.2025.107678,short,0
https://doi.org/10.1016/j.jenvman.2019.109620,intermediate,0
https://doi.org/10.1016/j.jenvman.2021.112745,long,0
https://doi.org/10.1016/j.jenvman.2024.123076,NR,0
https://doi.org/10.1016/j.worlddev.2024.106534,long,0
https://doi.org/10.1016/j.progress.2014.10.003,intermediate,0
https://doi.org/10.1016/j.jclepro.2023.139681,NR,0
https://doi.org/10.1016/j.healthplace.2017.03.006,short,0
https://doi.org/10.1016/j.healthplace.2018.11.009,short,1
https://doi.org/10.1016/j.ufug.2006.09.005,long,0
https://doi.org/10.1016/j.ufug.2013.11.001,NR,0
https://doi.org/10.1016/j.ufug.2014.09.003,NR,0
https://doi.org/10.1016/j.ufug.2016.06.009,ongoing,1
https://doi.org/10.1016/j.ufug.2018.10.002,ongoing,1
https://doi.org/10.1016/j.ufug.2020.126955,intermediate,0
https://doi.org/10.1016/j.ufug.2025.129035,intermediate,0
https://doi.org/10.1016/j.ufug.2025.129087,single,0
https://doi.org/10.1016/j.ufug.2025.129129,intermediate,0
https://doi.org/10.1016/j.ufug.2025.129139,short,0
https://doi.org/10.1016/j.emospa.2015.07.003,short,0
https://doi.org/10.1016/j.tsc.2018.06.006,short,0
https://doi.org/10.1016/j.scs.2025.106155,short,0
https://doi.org/10.1016/j.envdev.2025.101144,ongoing,1
https://doi.org/10.1016/j.ecoser.2025.101701,short,0
https://doi.org/10.1016/j.ancene.2019.100227,ongoing,0
https://doi.org/10.1016/j.cacint.2025.100216,NR,0
https://doi.org/10.1016/j.cacint.2025.100286,ongoing,1
https://doi.org/10.1016/j.indic.2025.100683,single,0
https://doi.org/10.1016/j.nbsj.2025.100216,intermediate,0
https://doi.org/10.1016/j.nbsj.2025.100224,long,0
