Code,Section,Variable,Definition,Options
A1,OS1,Study ID: DOI / URL,"Unique identifier for the study — the article's DOI (preferred, format https://doi.org/10.xxxx/...) or, if no DOI exists, its URL/permalink. Look in the citation block, header, footer, or first page metadata.",Free text (DOI URL preferred)
A2+A3,OS1,Author(s) and year of publication,First author's family name + year of publication (YYYY).,Free text
A4,OS1,Journal / source,Full journal name or publication venue.,Free text
A6+A7,OS1,Country and city/locality,Country (ISO short name) and smallest named geographic unit. Multiple countries: separated by ;,Free text
A8,OS1,Urban context type,Built-environment context of the intervention.,urban-core | inner-suburb | outer-suburb | peri-urban | informal-settlement | mixed | unclear
B1,OS1,Study design,Empirical design of the included study.,qualitative | quantitative | mixed-methods | case-study | RCT | quasi-experimental | before-after | cross-sectional | longitudinal | participatory-action-research | ethnography | Delphi | other
B4,OS1,Funding,Funding source(s) of the study,Free text
,OS1,Sponsor,source de financement de l'intervention,Free text
C1,OS1,Type of greening intervention,Category according to the 5-category typology.,1-New green space creation | 2-Modification of existing green space | 3-Green-grey hybrid / NbS infrastructure | 4-Streetscape and linear greening | 5-Programmatic/stewardship intervention. Multiple choice
C3,OS1,Intervention narrative description,Free-text description of the intervention as reported in the study.,Free text. See the C1 intervention-type examples above (TAXONOMIES section).
C5,OS1,Stated goals / co-benefits,Goals explicitly stated by the authors or the intervention sponsor (multi-select).,biodiversity ; climate-adaptation ; climate-mitigation ; stormwater ; air-quality ; heat-mitigation ; public-health ; mental-health ; physical-activity ; social-cohesion ; education ; food-security ; aesthetic ; economic-development ; equity ; democratic-participation ; cultural-heritage ; other (specify)
D1,OS1,Spatial scale of intervention,Geographic extent of the intervention.,parcel | street-block | neighbourhood | district | city | regional | multi-scale
D4,OS2,Phase(s) of participation,Phase(s) of the intervention life-cycle where participation occurred. See TAXONOMIES for full definitions of each phase.,planning-design ; implementation ; monitoring-evaluation
E1,OS2,Participatory method type [Geekiyanage taxonomy],".Method type per Geekiyanage et al. (2021), regrouped into 4 categories (IAP2 'inform' level excluded per inclusion criteria). Record both the category AND the specific method name. If the method is not listed but fits an existing category, assign it there and note the exact method name in brackets. If no category applies, leave blank and report in E2.","1-Consultation, opinion-collection [surveys ; interviews ; focus groups ; polls ; citizen science/crowdsourcing ; public meetings ; social media ; site visits/tours] ; 2-Deliberation-expertise [expert panels/working groups ; citizen juries ; citizen committees ; visioning ; community indicator projects] ; 3-Co-design, solution-creation [workshops/open space events ; design charrette/tactic-urbanism/placemaking ; knowledge/document co-creation ; community mapping/mind mapping ; system dynamics] ; 4-Participatory-action, evaluation [asset-based community development (ABCD) ; participatory budgeting ; most significant change (MSC)]"
E2,OS2,Other methods reported,"Additional participatory methods used in the same intervention, AND any methods that do not fit an E1 category. Separate multiple methods with ;. Match a technique name from the TAXONOMIES 24-technique reference catalogue (Baldessari et al. 2024) for consistent naming when possible; free text otherwise. See TAXONOMIES routing rule to avoid duplicating a method already coded under E1.",See TAXONOMIES catalogue (e.g. World Café ; Delphi Method ; Science Shop ; Referendum...) or free text
