DATA-EXTRACTION CODEBOOK - Participatory Methods in Urban Greening Interventions,,,
Code,Section,Variable,Definition,Options / Controlled vocabulary
 OS1 · STUDY CHARACTERISTICS ,,,
A1,OS1,Study ID: DOI / URL,"Unique identifier for the study - the article's DOI (preferred, format https://doi.org/10.xxxx/...) or, if no DOI exists, its URL/permalink. Look in the citation block, header, footer, or first page metadata.",Free text (DOI URL preferred)
A2+A3,OS1,Author(s) and year of publication,First author's family name + year of publication (YYYY).,Free text
A4,OS1,Journal / source,Full journal name or publication venue.,Free text
A6+A7,OS1,Country and city/locality,Country (ISO short name) and smallest named geographic unit. Multiple countries: separated by ;,Free text
A8,OS1,Urban context type,Built-environment context of the intervention.,urban-core | inner-suburb | outer-suburb | peri-urban | informal-settlement | mixed | unclear
B1,OS1,Study design,Empirical design of the included study.,qualitative | quantitative | mixed-methods | case-study | RCT | quasi-experimental | before-after | cross-sectional | longitudinal | participatory-action-research | ethnography | Delphi | other
B4,OS1,Funding,Funding source(s) of the study.,Free text
Sponsor,OS1,Sponsor,"Funding source of the intervention itself, as distinct from B4 (funding of the study).",Free text
C1,OS1,Type of greening intervention,Category according to the 5-category typology.,1-New green space creation | 2-Modification of existing green space | 3-Green-grey hybrid / NbS infrastructure | 4-Streetscape and linear greening | 5-Programmatic/stewardship intervention. Multiple choice
C1_r,OS1,C1 - rationale,Brief justification for intervention type code(s).,Free text
C3,OS1,Intervention specific example / short label,"Short label (2-6 words, noun phrase, NOT a narrative sentence/paragraph) naming the specific intervention as reported in the study, tied to the C1 category assigned. Prioritize matching a term from the 'Concrete examples' column of the INTERVENTION TYPOLOGY tab for that category, no tag needed in that default case. Only if the exact intervention is not among those examples, coin a short analogous label extending the same category's logic AND append the tag [analogous] at the end (e.g. rainwater harvesting basin [analogous]).","Short free-text label only, no full sentences. Append [analogous] only when the label is not one of the typology's concrete examples. See examples in the tab: INTERVENTION TYPOLOGY"
C5,OS1,Stated goals / co-benefits,Goals explicitly stated by the authors or the intervention sponsor (multi-select).,biodiversity ; climate-adaptation ; climate-mitigation ; stormwater ; air-quality ; heat-mitigation ; public-health ; mental-health ; physical-activity ; social-cohesion ; education ; food-security ; aesthetic ; economic-development ; equity ; democratic-participation ; cultural-heritage ; other (specify)
D1,OS1,Spatial scale of intervention,Geographic extent of the intervention.,parcel | street-block | neighbourhood | district | city | regional | multi-scale
OS2 · PARTICIPATORY METHODS,,,
D4,OS2,Phase(s) of participation,Phase(s) of the intervention life-cycle where participation occurred. See TAXONOMIES for full definitions of each phase.,planning-design ; implementation ; monitoring-evaluation
E1,OS2,Participatory method type [Geekiyanage taxonomy],"Method type per Geekiyanage et al. (2021), regrouped into 4 categories (IAP2 'inform' level excluded per inclusion criteria). Record both the category AND the specific method name. If the method is not listed but fits an existing category, assign it there and note the exact method name in brackets. If no category applies, leave blank and report in E2.","1-Consultation, opinion-collection [surveys ; interviews ; focus groups ; polls ; citizen science/crowdsourcing ; public meetings ; social media ; site visits/tours] ; 2-Deliberation-expertise [expert panels/working groups ; citizen juries ; citizen committees ; visioning ; community indicator projects] ; 3-Co-design, solution-creation [workshops/open space events ; design charrette/tactic-urbanism/placemaking ; knowledge/document co-creation ; community mapping/mind mapping ; system dynamics] ; 4-Participatory-action, evaluation [asset-based community development (ABCD) ; participatory budgeting ; most significant change (MSC)]"
E1_r,OS2,E1 - rationale,Brief justification for the Geekiyanage category assigned.,Free text
E2,OS2,Other methods reported,"Additional participatory methods used in the same intervention, AND any methods that do not fit an E1 category. Separate multiple methods with ;. Match a technique name from the TAXONOMIES 24-technique reference catalogue (Baldessari et al. 2024) for consistent naming when possible; free text otherwise. See TAXONOMIES routing rule to avoid duplicating a method already coded under E1.",See TAXONOMIES catalogue (e.g. World Cafe ; Delphi Method ; Science Shop ; Referendum...) or free text
E3,OS2,IAP2 level (depth of participation),Highest rung of the IAP2 Spectrum substantively reached by the process. (IAP2 'inform' level excluded per inclusion criteria),1-Consult | 2-Involve | 3-Collaborate | 4-Empower
E3_r,OS2,E3 - rationale,Brief justification for the IAP2 level assigned.,Free text
E5,OS2,Type and profile of participants,"Composition of the participating group: n, demographic characteristics, sampling approach. See TAXONOMIES for the 6 participant categories.",citizens ; stakeholders ; experts ; policy-makers ; students ; supporting-figures (multiple allowed) + free-text profile detail
E_rec,OS2,Recruitment modalities,How participants were recruited and mobilised. See TAXONOMIES for the 4 selection modality categories.,self-selection ; random-sampling ; targeted-selection ; no-selection (multiple allowed) + free-text detail
E_gov,OS2,Governance of participation,Who led the participatory process.,researcher-led | government-led | community-led | co-governance | unclear
E_gov_r,OS2,E_gov - rationale,Brief justification for the governance code.,Free text
E_eng,OS2,Temporal engagement (duration + frequency),Total duration of participation AND frequency/intensity of engagements (merged variables V20+V21).,Free text (e.g. 3 workshops over 6 months)
E_n,OS2,Number of participants,Number of individuals involved in the participatory process.,Numerical value
E_rate,OS2,Participation rate,"Proportion of participants relative to the targeted or invited population. If no rate/proportion is explicitly stated but the NUMBER of participants is reported anywhere in the article, report that number instead of ""not reported"" (format: ""n=<number> (rate not reported)""). Only use ""not reported"" if neither a rate nor a participant count is given.",Free text | n=<number> (rate not reported) | not-reported
OS3 · OUTCOMES AND EQUITY,,,
Impact of participation,OS3,Impact of participation,Whether an impact of participation is reported (e.g. in the discussion section).,Free text
H1,OS3,Impact of the intervention,Observed impacts of the intervention (as evaluated).,[multi-select] physical-health ; mental-health ; social-cohesion ; biodiversity ; climate-adaptation ; stormwater ; air-quality ; heat ; economic ; education ; governance ; participation-quality ; equity ; cultural ; safety ; other
H_succ,OS3,Success factors identified,Enabling factors and favourable conditions for participation identified by the authors.,Free text
H_barr,OS3,Barriers identified,Obstacles and challenges encountered in implementing participation.,Free text
Types of justice,OS3,Types of justice,"DISTRIBUTIVE JUSTICE: who gets the benefits, who bears the burdens? Focuses on the distribution of green space, clean air and shade (goods) vs noise, flooding and displacement (burdens) across social groups. Classic inequity: wealthier, whiter neighbourhoods have more and better-quality green space. Source: Schlosberg (2007) Ch.2; Rigolon (2016); Wolch et al. (2014). PROCEDURAL JUSTICE: was the decision-making process fair and inclusive? Concerns the fairness of the process, not just the outcomes. A process can produce good outcomes yet still be procedurally unjust if certain groups were excluded or had no real influence. NOTE: a high IAP2 level does not equal procedural justice if participants were unrepresentative. Source: Schlosberg (2007) Ch.3; Fung (2006); IAP2 (2018). RECOGNITIONAL JUSTICE: whose knowledge, identities and cultures are acknowledged? Asks whether the intervention respects the identities, knowledge systems, cultures and histories of all groups, especially historically marginalised ones. Example of misrecognition: a park that erases an informal gathering space used by an immigrant community. Source: Schlosberg (2007) Ch.4; Fraser (2000); Fricker (2007).","Procedural, Distributive, Recognitional or not evoked"
Tj_r,OS3,Types of justice - rationale,Brief justification for the justice type(s) assigned.,Free text
F1d,OS3,Beneficiary groups of the intervention,Population groups identified as primary beneficiaries (intersectional descriptors).,Free text
F2a,OS3,Representativeness and diversity of process,Was the participating group representative of the affected population?,representative | partially-representative | unrepresentative | not-assessed
F2a_r,OS3,Representativeness - rationale,Brief justification for the representativeness code.,Free text
F2d,OS3,Conflict and contestation,"Does the study report conflict or contestation around the intervention? If yes, do NOT answer with a bare ""yes"" or a short label, write 1-2 full sentences explaining: (1) WHO was in conflict (e.g. which residents, institutions, or groups), (2) WHAT the conflict was about (the specific object of disagreement), and (3) WHY it arose or how it manifested, based on what the article reports. Enough detail that a reader who has not read the article understands the nature of the conflict, not just that one existed.",yes: <1-2 sentence explanation covering who/what/why> | no | not-reported
F3c,OS3,Identity and representation,Marginalised identities named and represented in the participatory process.,"Free text (e.g. low-income residents, women, elderly, Indigenous peoples)"
F_adv,OS3,Reported unintended adverse effects,Unintended adverse effects on incumbent residents or other groups.,Free text
